proto,length,src,dst
TLS,505,192.168.125.114,188.114.97.3
TLS,101,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
TLS,101,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
TCP,66,188.114.97.3,192.168.125.114
TLS,919,188.114.97.3,192.168.125.114
TCP,66,192.168.125.114,188.114.97.3
TLS,358,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
TCP,66,148.113.8.203,192.168.125.114
TCP,66,192.168.125.114,148.113.8.203
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TLS,107,185.75.135.224,192.168.125.114
TLS,136,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
DNS,91,192.168.125.114,209.250.251.37
DNS,91,192.168.125.114,209.250.251.37
DNS,107,209.250.251.37,192.168.125.114
DNS,91,209.250.251.37,192.168.125.114
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TLS,568,192.168.125.114,104.18.18.125
TLS,97,192.168.125.114,104.18.18.125
TLS,101,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
TLS,101,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TLS,147,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
SOCKS,315,192.168.125.114,91.98.144.125
TCP,66,91.98.144.125,192.168.125.114
SOCKS,1466,91.98.144.125,192.168.125.114
SOCKS,1466,91.98.144.125,192.168.125.114
TCP,66,192.168.125.114,91.98.144.125
SOCKS,1743,91.98.144.125,192.168.125.114
TCP,66,192.168.125.114,91.98.144.125
SOCKS,283,192.168.125.114,91.98.144.125
TCP,66,91.98.144.125,192.168.125.114
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
DATA,60,80:e8:6f:4b:17:87,80:e8:6f:4b:17:87
DNS,85,192.168.125.114,192.168.1.254
DNS,85,192.168.125.114,192.168.1.254
DNS,336,192.168.1.254,192.168.125.114
DNS,432,192.168.1.254,192.168.125.114
TCP,74,192.168.125.114,20.190.181.5
TCP,66,192.168.125.114,185.75.135.224
TCP,66,20.190.181.5,192.168.125.114
TCP,54,192.168.125.114,20.190.181.5
TLS,571,192.168.125.114,20.190.181.5
TCP,66,185.75.135.224,192.168.125.114
TLS,153,20.190.181.5,192.168.125.114
TCP,54,192.168.125.114,20.190.181.5
TLS,577,192.168.125.114,20.190.181.5
TLS,1466,20.190.181.5,192.168.125.114
TLS,2477,20.190.181.5,192.168.125.114
TCP,54,192.168.125.114,20.190.181.5
TLS,128,192.168.125.114,20.190.181.5
TLS,140,192.168.125.114,20.190.181.5
TLS,151,192.168.125.114,20.190.181.5
TCP,66,192.168.125.114,148.113.8.203
TCP,66,192.168.125.114,185.75.135.224
TLS,157,20.190.181.5,192.168.125.114
TLS,116,20.190.181.5,192.168.125.114
TCP,54,192.168.125.114,20.190.181.5
TLS,85,192.168.125.114,20.190.181.5
TLS,85,20.190.181.5,192.168.125.114
TCP,54,192.168.125.114,20.190.181.5
TCP,66,185.75.135.224,192.168.125.114
TLS,1561,20.190.181.5,192.168.125.114
TCP,54,192.168.125.114,20.190.181.5
